developer-agreement contribution,developer-agreement,contribution-purpose,amount,units,entry-date,start-date,end-date
DC/16/59843-da44-5,DC/16/59843-da,cil-administration costs,191.25,,2019-11-29,2019-02-08,
DC/16/59961-da46-80,DC/16/59961-da,community-infrastructure-levy,2858.88,,2019-11-29,2018-04-19,
DC/16/59961-da46-15,DC/16/59961-da,neighbourhood-community-infrastructure-levy,536.04,,2019-11-29,2018-04-19,
DC/16/59961-da46-5,DC/16/59961-da,cil-administration costs,178.68,,2019-11-29,2018-04-19,
DC/16/59961-da47-80,DC/16/59961-da,community-infrastructure-levy,99.92,,2019-11-29,2018-05-24,
DC/16/59961-da47-15,DC/16/59961-da,neighbourhood-community-infrastructure-levy,18.74,,2019-11-29,2018-05-24,
DC/16/59961-da47-5,DC/16/59961-da,cil-administration costs,6.24,,2019-11-29,2018-05-24,
DC/16/60069-da48-80,DC/16/60069-da,community-infrastructure-levy,104321.49,,2019-11-29,2018-06-07,
DC/16/60069-da48-15,DC/16/60069-da,neighbourhood-community-infrastructure-levy,19560.28,,2019-11-29,2018-06-07,
DC/16/60069-da48-5,DC/16/60069-da,cil-administration costs,6520.09,,2019-11-29,2018-06-07,
DC/16/60124-da51-80,DC/16/60124-da,community-infrastructure-levy,7521.18,,2019-11-29,2018-04-03,
DC/16/60124-da51-15,DC/16/60124-da,neighbourhood-community-infrastructure-levy,1410.22,,2019-11-29,2018-04-03,
DC/16/60124-da51-5,DC/16/60124-da,cil-administration costs,470.08,,2019-11-29,2018-04-03,
DC/16/60124-da52-80,DC/16/60124-da,community-infrastructure-levy,7521.18,,2019-11-29,2018-05-24,
DC/16/60124-da52-15,DC/16/60124-da,neighbourhood-community-infrastructure-levy,1410.22,,2019-11-29,2018-05-24,
DC/16/60124-da52-5,DC/16/60124-da,cil-administration costs,470.08,,2019-11-29,2018-05-24,
DC/16/60124-da53-80,DC/16/60124-da,community-infrastructure-levy,7521.18,,2019-11-29,2018-09-13,
DC/16/60124-da53-15,DC/16/60124-da,neighbourhood-community-infrastructure-levy,1410.22,,2019-11-29,2018-09-13,
DC/16/60124-da53-5,DC/16/60124-da,cil-administration costs,470.06,,2019-11-29,2018-09-13,
DC/17/60517-da60-80,DC/17/60517-da,community-infrastructure-levy,34404.46,,2019-11-29,2018-06-07,
DC/17/60517-da60-15,DC/17/60517-da,neighbourhood-community-infrastructure-levy,6450.84,,2019-11-29,2018-06-07,
DC/17/60517-da60-5,DC/17/60517-da,cil-administration costs,2150.28,,2019-11-29,2018-06-07,
DC/17/60728-da62-80,DC/17/60728-da,community-infrastructure-levy,6757.58,,2019-11-29,2018-10-11,
DC/17/60728-da62-15,DC/17/60728-da,neighbourhood-community-infrastructure-levy,1267.05,,2019-11-29,2018-10-11,
DC/17/60728-da62-5,DC/17/60728-da,cil-administration costs,422.35,,2019-11-29,2018-10-11,
DC/17/60955-da66-80,DC/17/60955-da,community-infrastructure-levy,3526.71,,2019-11-29,2018-05-22,
DC/17/60955-da66-15,DC/17/60955-da,neighbourhood-community-infrastructure-levy,661.26,,2019-11-29,2018-05-22,
DC/17/60955-da66-5,DC/17/60955-da,cil-administration costs,220.42,,2019-11-29,2018-05-22,
DC/17/61044-da67-80,DC/17/61044-da,community-infrastructure-levy,29367.70,,2019-11-29,2018-07-11,
DC/17/61044-da67-15,DC/17/61044-da,neighbourhood-community-infrastructure-levy,5506.55,,2019-11-29,2018-07-11,
DC/17/61044-da67-5,DC/17/61044-da,cil-administration costs,1835.49,,2019-11-29,2018-07-11,
DC/17/61140-da74-80,DC/17/61140-da,community-infrastructure-levy,10156.15,,2019-11-29,2019-01-10,
