developer-agreement-transaction,developer-agreement-contribution,contribution-funding-status,amount,units,entry-date,start-date,end-date
AWDM/1107/15-StrategicCIL-secd,AWDM/1107/15-StrategicCIL,secured,6188.8,,2020-01-29,2019-09-16,2019-11-07
AWDM/1107/15-WardCIL-secd,AWDM/1107/15-WardCIL,secured,1160.4,,2020-01-29,2019-09-16,2019-11-07
AWDM/1107/15-AdminCIL-secd,AWDM/1107/15-AdminCIL,secured,386.8,,2020-01-29,2019-09-16,2019-11-07
AWDM/0456/16-StrategicCIL-secd,AWDM/0456/16-StrategicCIL,secured,7006.02,,2020-01-29,2019-09-20,
AWDM/0456/16-WardCIL-secd,AWDM/0456/16-WardCIL,secured,1313.63,,2020-01-29,2019-09-20,
AWDM/0456/16-AdminCIL-secd,AWDM/0456/16-AdminCIL,secured,437.88,,2020-01-29,2019-09-20,
AWDM/1174/16-StrategicCIL-secd,AWDM/1174/16-StrategicCIL,secured,8704,,2020-01-29,2019-09-20,2019-10-09
AWDM/1174/16-WardCIL-secd,AWDM/1174/16-WardCIL,secured,1632,,2020-01-29,2019-09-20,2019-10-09
AWDM/1174/16-AdminCIL-secd,AWDM/1174/16-AdminCIL,secured,544,,2020-01-29,2019-09-20,2019-10-09
AWDM/1042/18-StrategicCILPay2-secd,AWDM/1042/18-StrategicCILPay2,secured,22523,,2020-01-29,2019-09-26,
AWDM/1042/18-WardCILPay2-secd,AWDM/1042/18-WardCILPay2,secured,4223.06,,2020-01-29,2019-09-26,
AWDM/1042/18-AdminCILPay2-secd,AWDM/1042/18-AdminCILPay2,secured,1407.69,,2020-01-29,2019-09-26,
AWDM/1909/16-StrategicCIL-recd,AWDM/1909/16-StrategicCIL,received,5991.82,,2020-01-29,2019-10-07,
AWDM/1909/16-WardCIL-recd,AWDM/1909/16-WardCIL,received,1123.47,,2020-01-29,2019-10-07,
AWDM/1909/16-AdminCIL-recd,AWDM/1909/16-AdminCIL,received,374.49,,2020-01-29,2019-10-07,
AWDM/0307/16-StrategicCIL-secd,AWDM/0307/16-StrategicCIL,secured,5716.98,,2020-01-29,2019-10-07,
AWDM/0307/16-WardCIL-secd,AWDM/0307/16-WardCIL,secured,1071.93,,2020-01-29,2019-10-07,
AWDM/0307/16-AdminCIL-secd,AWDM/0307/16-AdminCIL,secured,357.31,,2020-01-29,2019-10-07,
AWDM/0418/16-StrategicCIL2-recd,AWDM/0418/16-StrategicCIL2,received,8760,,2020-01-29,2019-10-08,
AWDM/0418/16-WardCIL2-recd,AWDM/0418/16-WardCIL2,received,1642.5,,2020-01-29,2019-10-08,
AWDM/0418/16-AdminCIL2-recd,AWDM/0418/16-AdminCIL2,received,547.5,,2020-01-29,2019-10-08,
AWDM/0676/18-StrategicCIL-secd,AWDM/0676/18-StrategicCIL,secured,10908,,2020-01-29,2019-10-08,
AWDM/0676/18-WardCIL-secd,AWDM/0676/18-WardCIL,secured,2045.25,,2020-01-29,2019-10-08,
AWDM/0676/18-AdminCIL-secd,AWDM/0676/18-AdminCIL,secured,681.75,,2020-01-29,2019-10-08,
AWDM/0827/15-StrategicCIL-recd,AWDM/0827/15-StrategicCIL,received,11952.93,,2020-01-29,2019-10-09,
AWDM/0827/15-WardCIL-recd,AWDM/0827/15-WardCIL,received,2241.17,,2020-01-29,2019-10-09,
AWDM/0827/15-AdminCIL-recd,AWDM/0827/15-AdminCIL,received,747.06,,2020-01-29,2019-10-09,
AWDM/0025/18-StrategicCIL-secd,AWDM/0025/18-StrategicCIL,secured,20604,,2020-01-29,2019-10-14,
AWDM/0025/18-LocalCIL-secd,AWDM/0025/18-LocalCIL,secured,3863.25,,2020-01-29,2019-10-14,
AWDM/0025/18-AdminCIL-secd,AWDM/0025/18-AdminCIL,secured,1287.75,,2020-01-29,2019-10-14,
AWDM/0038/18-StrategicCIL-recd,AWDM/0038/18-StrategicCIL,received,20671.99,,2020-01-29,2019-10-18,
AWDM/0038/18-WardCIL-recd,AWDM/0038/18-WardCIL,received,3876,,2020-01-29,2019-10-18,
AWDM/0038/18-AdminCIL-recd,AWDM/0038/18-AdminCIL,received,1292,,2020-01-29,2019-10-18,
AWDM/1176/17-StrategicCIL2-recd,AWDM/1176/17-StrategicCIL2,received,9877.1,,2020-01-29,2019-10-29,
AWDM/1176/17-WardCIL2-recd,AWDM/1176/17-WardCIL2,received,1851.96,,2020-01-29,2019-10-29,
AWDM/1176/17-AdminCIL2-recd,AWDM/1176/17-AdminCIL2,received,617.32,,2020-01-29,2019-10-29,
AWDM/1174/16-StrategicCIL2-recd,AWDM/1174/16-StrategicCIL2,received,8704,,2020-01-29,2019-11-04,
AWDM/1174/16-WardCIL2-recd,AWDM/1174/16-WardCIL2,received,1632,,2020-01-29,2019-11-04,
AWDM/1174/16-AdminCIL2-recd,AWDM/1174/16-AdminCIL2,received,544,,2020-01-29,2019-11-04,
AWDM/1520/17-StrategicCIL-recd,AWDM/1520/17-StrategicCIL,received,7237.38,,2020-01-29,2019-11-13,
AWDM/1520/17-WardCIL-recd,AWDM/1520/17-WardCIL,received,1357.01,,2020-01-29,2019-11-13,
AWDM/1520/17-AdminCIL-recd,AWDM/1520/17-AdminCIL,received,452.34,,2020-01-29,2019-11-13,
AWDM/1042/18-StrategicCILPay1-recd,AWDM/1042/18-StrategicCILPay1,received,22523,,2020-01-29,2019-11-14,
AWDM/1042/18-WardCILPay1-recd,AWDM/1042/18-WardCILPay1,received,4223.06,,2020-01-29,2019-11-14,
AWDM/1042/18-AdminCILPay1-recd,AWDM/1042/18-AdminCILPay1,received,1407.69,,2020-01-29,2019-11-14,
AWDM/0870/17-StrategicCIL-recd,AWDM/0870/17-StrategicCIL,received,4400,,2020-01-29,2019-12-02,
AWDM/0870/17-WardCIL-recd,AWDM/0870/17-WardCIL,received,825,,2020-01-29,2019-12-02,
AWDM/0870/17-AdminCIL-recd,AWDM/0870/17-AdminCIL,received,275,,2020-01-29,2019-12-02,
AWDM/1504/19-StrategicCIL-secd,AWDM/1504/19-StrategicCIL,secured,26948.27,,2020-01-29,2019-12-20,
AWDM/1504/19-WardCIL-secd,AWDM/1504/19-WardCIL,secured,5052.8,,2020-01-29,2019-12-20,
AWDM/1504/19-AdminCIL-secd,AWDM/1504/19-AdminCIL,secured,1684.27,,2020-01-29,2019-12-20,
AWDM/0945/18-StrategicCIL-secd,AWDM/0945/18-StrategicCIL,secured,16808.42,,2020-01-29,2020-01-17,
AWDM/0945/18-WardCIL-secd,AWDM/0945/18-WardCIL,secured,3151.58,,2020-01-29,2020-01-17,
AWDM/0945/18-AdminCIL-secd,AWDM/0945/18-AdminCIL,secured,1050.53,,2020-01-29,2020-01-17,
AWDM/1351/19-StrategicCIL-secd,AWDM/1351/19-StrategicCIL,secured,12519.63,,2020-01-29,2020-01-17,
AWDM/1351/19-WardCIL-secd,AWDM/1351/19-WardCIL,secured,2347.43,,2020-01-29,2020-01-17,
AWDM/1351/19-AdminCIL-secd,AWDM/1351/19-AdminCIL,secured,782.48,,2020-01-29,2020-01-17,
AWDM/1529/18-StrategicCILPay1-secd,AWDM/1529/18-StrategicCILPay1,secured,99924.61,,2020-01-29,2020-01-21,
AWDM/1529/18-WardCILPay1-secd,AWDM/1529/18-WardCILPay1,secured,18735.86,,2020-01-29,2020-01-21,
AWDM/1529/18-AdminCILPay1-secd,AWDM/1529/18-AdminCILPay1,secured,6245.29,,2020-01-29,2020-01-21,
AWDM/1529/18-StrategicCILPay2-secd,AWDM/1529/18-StrategicCILPay2,secured,99924.6,,2020-01-29,2020-01-21,
AWDM/1529/18-WardCILPay2-secd,AWDM/1529/18-WardCILPay2,secured,18735.86,,2020-01-29,2020-01-21,
AWDM/1529/18-AdminCILPay2-secd,AWDM/1529/18-AdminCILPay2,secured,6245.29,,2020-01-29,2020-01-21,
AWDM/1633/16-StrategicCILPay1-secd,AWDM/1633/16-StrategicCILPay1,secured,150863.49,,2020-01-29,2020-01-27,
AWDM/1633/16-WardCILPay1-secd,AWDM/1633/16-WardCILPay1,secured,28286.9,,2020-01-29,2020-01-27,
AWDM/1633/16-AdminCILPay1-secd,AWDM/1633/16-AdminCILPay1,secured,9428.97,,2020-01-29,2020-01-27,
AWDM/1633/16-StrategicCILPay2-secd,AWDM/1633/16-StrategicCILPay2,secured,150863.49,,2020-01-29,2020-01-27,
AWDM/1633/16-WardCILPay2-secd,AWDM/1633/16-WardCILPay2,secured,28286.9,,2020-01-29,2020-01-27,
AWDM/1633/16-AdminCILPay2-secd,AWDM/1633/16-AdminCILPay2,secured,9428.97,,2020-01-29,2020-01-27,
AWDM/1633/16-StrategicCILPay3-secd,AWDM/1633/16-StrategicCILPay3,secured,150863.49,,2020-01-29,2020-01-27,
AWDM/1633/16-WardCILPay3-secd,AWDM/1633/16-WardCILPay3,secured,28286.9,,2020-01-29,2020-01-27,
AWDM/1633/16-AdminCILPay3-secd,AWDM/1633/16-AdminCILPay3,secured,9428.97,,2020-01-29,2020-01-27,
AWDM/1633/16-StrategicCILPay4-secd,AWDM/1633/16-StrategicCILPay4,secured,150863.49,,2020-01-29,2020-01-27,
AWDM/1633/16-WardCILPay4-secd,AWDM/1633/16-WardCILPay4,secured,28286.9,,2020-01-29,2020-01-27,
AWDM/1633/16-AdminCILPay4-secd,AWDM/1633/16-AdminCILPay4,secured,9428.97,,2020-01-29,2020-01-27,
WB/09/0732/FULL-RecSpace-alcd,WB/09/0732/FULL-RecSpace,allocated,30934.96,,2020-01-29,2020-03-31,
WB/11/0275/OUT-SwimPool-alcd,WB/11/0275/OUT-SwimPool,allocated,250813,,2020-01-29,2020-03-31,
WB/10/0895/FULL-Flood-spent,WB/10/0895/FULL-Flood,spent,15545,,2020-01-29,2020-03-31,
