developer-agreement-transaction,developer-agreement-contribution,contribution-funding-status,amount,units,entry-date,start-date,end-date
AWDM/1075/17-AffHousing-recd,AWDM/1075/17-AffHousing,received,70000,,2020-01-29,2019-04-02,
AWDM/1542/16-AffHousing-recd,AWDM/1542/16-AffHousing,received,25000,,2020-01-29,2019-04-09,
WB/09/0732/FULL-RecSpace-recd,WB/09/0732/FULL-RecSpace,received,30934.96,,2020-01-29,2019-06-10,
AWDM/1409/17-StrategicCIL-recd,AWDM/1409/17-StrategicCIL,received,22320,,2020-01-29,2019-06-14,
AWDM/1409/17-WardCIL-recd,AWDM/1409/17-WardCIL,received,4185,,2020-01-29,2019-06-14,
AWDM/1409/17-AdminCIL-recd,AWDM/1409/17-AdminCIL,received,1395,,2020-01-29,2019-06-14,
AWDM/1176/17-StrategicCIL-secd,AWDM/1176/17-StrategicCIL,secured,9040,,2020-01-29,2019-07-18,2019-09-04
AWDM/1176/17-WardCIL-secd,AWDM/1176/17-WardCIL,secured,1695,,2020-01-29,2019-07-18,2019-09-04
AWDM/1176/17-AdminCIL-secd,AWDM/1176/17-AdminCIL,secured,565,,2020-01-29,2019-07-18,2019-09-04
AWDM/0418/16-StrategicCIL-secd,AWDM/0418/16-StrategicCIL,secured,9165.59,,2020-01-29,2019-08-13,2019-09-10
AWDM/0418/16-WardCIL-secd,AWDM/0418/16-WardCIL,secured,1718.55,,2020-01-29,2019-08-13,2019-09-10
AWDM/0418/16-AdminCIL-secd,AWDM/0418/16-AdminCIL,secured,572.85,,2020-01-29,2019-08-13,2019-09-10
AWDM/0556/18-StrategicCIL-recd,AWDM/0556/18-StrategicCIL,received,13665.3,,2020-01-29,2019-09-11,
AWDM/0556/18-WardCIL-recd,AWDM/0556/18-WardCIL,received,2562.24,,2020-01-29,2019-09-11,
AWDM/0556/18-AdminCIL-recd,AWDM/0556/18-AdminCIL,received,854.08,,2020-01-29,2019-09-11,
